model_id,display,stat,metric,level,population,relation,point,ci_low,ci_high,n_valid,has_ci
qwen3.5-27b,Qwen3.5-27B,chrf|macro|zeros_for_failed,chrf,macro,zeros_for_failed,,40.9083822686808,38.554991237148585,43.269226039992205,1000,True
qwen3.5-27b,Qwen3.5-27B,type_accuracy|accuracy|compiled_only,type_accuracy,accuracy,compiled_only,,0.886326194398682,0.86140472083782,0.9098919769688477,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1::inheritance|micro|compiled_only,relationship_f1,micro,compiled_only,inheritance,0.7709978463747309,0.705794245900339,0.8304020120892295,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1::composition|micro|compiled_only,relationship_f1,micro,compiled_only,composition,0.6184210526315791,0.49807853583937656,0.7301806239737275,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1::aggregation|micro|compiled_only,relationship_f1,micro,compiled_only,aggregation,0.6265822784810126,0.4981544771018454,0.7473010702652397,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1::dependency|micro|compiled_only,relationship_f1,micro,compiled_only,dependency,0.49791376912378305,0.3845192031963906,0.6047316272758829,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1::association|micro|compiled_only,relationship_f1,micro,compiled_only,association,0.6019131714495953,0.5238583056979199,0.6817118310496723,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1::message|micro|compiled_only,relationship_f1,micro,compiled_only,message,0.7827403482210445,0.6938370177093147,0.861391512176495,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1::inheritance|micro|zeros_for_failed,relationship_f1,micro,zeros_for_failed,inheritance,0.6516990291262135,0.5807248386159967,0.7174548567062962,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1::composition|micro|zeros_for_failed,relationship_f1,micro,zeros_for_failed,composition,0.4253393665158371,0.3008198342251126,0.5472270404991801,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1::aggregation|micro|zeros_for_failed,relationship_f1,micro,zeros_for_failed,aggregation,0.5103092783505154,0.39431791695801277,0.6276934306569344,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1::dependency|micro|zeros_for_failed,relationship_f1,micro,zeros_for_failed,dependency,0.4349939246658567,0.34273910916099465,0.5271863054831492,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1::association|micro|zeros_for_failed,relationship_f1,micro,zeros_for_failed,association,0.4831659775546367,0.40972325444123564,0.5524833902681764,1000,True
qwen3.5-27b,Qwen3.5-27B,relationship_f1::message|micro|zeros_for_failed,relationship_f1,micro,zeros_for_failed,message,0.4619422572178477,0.40267033760358273,0.5217598256279883,1000,True
qwen3.5-27b,Qwen3.5-27B,chrf|micro|compiled_only,chrf,micro,compiled_only,,65.64781820111585,,,0,False
qwen3.5-27b,Qwen3.5-27B,chrf|micro|zeros_for_failed,chrf,micro,zeros_for_failed,,38.41381643307572,,,0,False
